iter	Passed	Remaining
468	756	855
469	757	854
470	759	852
471	760	850
472	762	849
473	763	847
474	765	846
475	766	844
476	768	842
477	770	841
478	771	839
479	773	837
480	774	835
481	776	834
482	777	832
483	779	830
484	781	829
485	782	827
486	784	826
487	785	824
488	787	822
489	789	821
490	790	819
491	792	818
492	794	816
493	795	815
494	797	813
495	798	811
496	800	810
497	802	808
498	803	807
499	805	805
500	807	804
501	809	802
502	811	801
503	812	799
504	814	797
505	815	796
506	817	794
507	818	792
508	820	791
509	822	789
510	823	787
511	824	786
512	826	785
513	828	783
514	830	782
515	832	780
516	834	779
517	835	777
518	837	775
519	838	774
520	840	772
521	842	771
522	844	769
523	845	768
524	847	766
525	848	765
526	851	763
527	853	762
528	855	761
529	856	759
530	858	758
531	860	756
532	862	755
533	863	753
534	865	752
535	867	750
536	868	749
537	870	747
538	872	746
539	874	744
540	875	743
541	877	741
542	878	739
543	880	737
544	881	736
545	883	734
546	884	732
547	886	731
548	888	729
549	889	727
550	891	726
551	892	724
552	894	723
553	896	721
554	897	719
555	899	718
556	900	716
557	902	714
558	903	713
559	905	711
560	906	709
561	908	707
562	909	705
563	910	704
564	912	702
565	913	700
566	914	698
567	916	697
568	918	695
569	919	693
570	920	691
571	922	690
572	923	688
573	925	686
574	926	685
575	928	683
576	929	681
577	931	679
578	932	678
579	934	676
580	936	675
581	937	673
582	938	671
583	940	669
584	941	668
585	943	666
586	945	665
587	947	663
588	948	661
589	950	660
590	951	658
591	953	656
592	954	655
593	956	653
594	957	651
595	958	649
596	960	648
597	961	646
598	963	645
599	965	643
600	966	641
601	967	639
602	969	638
603	970	636
604	972	634
605	973	633
606	975	631
607	977	630
608	978	628
609	980	626
610	981	625
611	983	623
612	984	621
613	986	620
614	987	618
615	988	616
616	990	614
617	991	612
618	993	611
619	995	609
620	996	608
621	998	606
622	999	604
623	1000	603
624	1002	601
625	1003	599
626	1005	598
627	1006	596
628	1008	594
629	1009	593
630	1011	591
631	1013	589
632	1014	588
633	1016	586
634	1018	585
635	1019	583
636	1021	582
637	1023	580
638	1026	579
639	1028	578
640	1030	576
641	1031	575
642	1033	573
643	1034	572
644	1036	570
645	1038	568
646	1039	567
647	1041	565
648	1043	564
649	1045	562
650	1046	561
651	1048	559
652	1050	558
653	1051	556
654	1053	554
655	1055	553
656	1057	552
657	1059	550
658	1060	548
659	1062	547
660	1063	545
661	1065	543
662	1066	542
663	1068	540
664	1070	539
665	1071	537
666	1073	535
667	1074	534
668	1076	532
669	1078	531
670	1079	529
671	1081	527
672	1083	526
673	1085	524
674	1087	523
675	1089	521
676	1090	520
677	1092	518
678	1093	517
679	1095	515
680	1097	513
681	1098	512
682	1100	510
683	1101	508
684	1103	507
685	1104	505
686	1106	504
687	1107	502
688	1108	500
689	1110	498
690	1111	497
691	1113	495
692	1114	493
693	1116	492
694	1117	490
695	1119	489
696	1121	487
697	1122	485
698	1124	484
699	1126	482
700	1127	481
701	1129	479
702	1131	477
703	1132	476
704	1134	474
705	1135	473
706	1137	471
707	1139	469
708	1140	468
709	1142	466
710	1143	464
711	1145	463
712	1146	461
713	1148	459
714	1149	458
715	1151	456
716	1152	455
717	1154	453
718	1155	451
719	1157	450
720	1159	448
721	1161	447
722	1162	445
723	1164	443
724	1165	442
725	1166	440
726	1168	438
727	1169	436
728	1171	435
729	1172	433
730	1174	432
731	1175	430
732	1177	428
733	1178	427
734	1180	425
735	1181	423
736	1183	422
737	1184	420
738	1186	419
739	1188	417
740	1190	415
741	1192	414
742	1194	413
743	1196	411
744	1197	410
745	1199	408
746	1201	406
747	1202	405
748	1204	403
749	1206	402
750	1208	400
751	1210	399
752	1211	397
753	1213	395
754	1215	394
755	1216	392
756	1218	391
